country,names,region_indexes,colour,order,disputed
Zimbabwe,['Zimbabwe'],[0],C1,67,False
Zambia,['Zambia'],[1],C5,43,False
Yemen,['Yemen'],[2],C5,61,False
Vietnam,['Vietnam'],[3],C5,72,False
Venezuela,['Venezuela'],[4],C1,38,False
Vatican,['Vatican'],[5],C1,201,False
Vanuatu,['Vanuatu'],[6],C6,163,False
Uzbekistan,['Uzbekistan'],[7],C2,54,False
Uruguay,['Uruguay'],[8],C1,89,False
Federated States of Micronesia,"['Micronesia', 'Federated States of Micronesia']",[9],C5,183,False
Marshall Islands,"['Marshall Is.', 'Marshall Islands']",[10],C2,193,False
United States of America,"['United States of America', 'United States']",[16],C4,3,False
United Kingdom,['United Kingdom'],[31],C6,66,False
United Arab Emirates,['United Arab Emirates'],[32],C2,123,False
Ukraine,['Ukraine'],[33],C5,41,False
Uganda,['Uganda'],[34],C6,83,False
Turkmenistan,['Turkmenistan'],[35],C3,53,False
Turkey,['Turkey'],[36],C6,33,False
Tunisia,['Tunisia'],[37],C4,91,False
Trinidad and Tobago,['Trinidad and Tobago'],[38],C5,169,False
Tonga,['Tonga'],[39],C2,185,False
Togo,['Togo'],[40],C3,132,False
East Timor,"['East Timor', 'Timor-Leste']",[41],C2,158,False
Thailand,['Thailand'],[42],C3,57,False
United Republic of Tanzania,"['Tanzania', 'United Republic of Tanzania']",[43],C3,35,False
Tajikistan,['Tajikistan'],[44],C3,93,False
Taiwan,['Taiwan'],[45],C1,138,False
Syria,['Syria'],[46],C2,87,False
Switzerland,['Switzerland'],[47],C5,131,False
Sweden,['Sweden'],[48],C1,34,False
eSwatini,"['eSwatini', 'Kingdom of eSwatini']",[49],C3,156,False
Suriname,['Suriname'],[50],C1,100,False
South Sudan,"['S. Sudan', 'South Sudan']",[51],C1,50,False
Sudan,['Sudan'],[52],C2,16,False
Sri Lanka,['Sri Lanka'],[53],C3,129,False
Spain,['Spain'],[54],C4,48,False
South Korea,"['Republic of Korea', 'South Korea']",[55],C4,107,False
South Africa,['South Africa'],[56],C2,20,False
Somalia,['Somalia'],[57],C2,60,False
Somaliland,['Somaliland'],[58],C3,94,True
Solomon Islands,"['Solomon Is.', 'Solomon Islands']",[59],C1,148,False
Slovakia,['Slovakia'],[60],C2,126,False
Slovenia,['Slovenia'],[61],C2,144,False
Singapore,['Singapore'],[62],C5,184,False
Sierra Leone,['Sierra Leone'],[63],C1,127,False
Seychelles,['Seychelles'],[64],C5,195,False
Republic of Serbia,"['Republic of Serbia', 'Serbia']",[65],C3,117,False
Senegal,['Senegal'],[66],C2,90,False
Saudi Arabia,['Saudi Arabia'],[67],C6,15,False
São Tomé and Principe,['São Tomé and Principe'],[68],C1,177,False
San Marino,['San Marino'],[69],C2,196,False
Samoa,['Samoa'],[70],C3,173,False
Saint Vincent and the Grenadines,"['St. Vin. and Gren.', 'Saint Vincent and the Grenadines']",[71],C1,190,False
Saint Lucia,['Saint Lucia'],[72],C3,182,False
Saint Kitts and Nevis,"['Saint Kitts and Nevis', 'St. Kitts and Nevis']",[73],C1,192,False
Rwanda,['Rwanda'],[74],C5,150,False
Russia,"['Russia', 'Russian Federation']",[75],C2,1,False
Romania,['Romania'],[76],C1,73,False
Qatar,['Qatar'],[77],C3,161,False
Portugal,['Portugal'],[78],C1,109,False
Poland,['Poland'],[79],C3,59,False
Philippines,['Philippines'],[80],C3,77,False
Peru,['Peru'],[81],C4,23,False
Paraguay,['Paraguay'],[82],C6,65,False
